# distance_m,vel_mps
2554.06846,40.67864
2559.06664,41.09210
2564.06481,41.49795
2569.06299,41.89646
2574.06117,42.28785
2579.05935,42.67236
2584.05752,43.05019
2589.05570,43.41775
2594.05388,43.77459
2599.05205,44.12123
2604.05023,43.57345
2609.04841,42.25081
2614.04658,41.00171
2619.04476,39.76971
2624.04294,38.48718
2629.04112,37.13499
2634.03929,35.71492
2639.03747,34.23120
2644.03565,32.67382
2649.03382,31.03665
2654.03200,29.36022
2659.03018,27.69706
2664.02835,26.09611
2669.02653,24.58410
2674.02471,23.16214
2679.02289,21.80984
2684.02106,20.50000
2689.01924,19.90000
2694.01742,19.90000
2699.01559,21.04448
2704.01377,20.90000
2709.01195,20.50000
2714.01012,19.50000
2719.00830,18.50000
2724.00648,18.90000
2729.00466,20.14029
2734.00283,21.31248
2739.00101,22.82469
2743.99919,24.36287
2748.99736,25.83968
2753.99554,27.22376
2758.99372,28.46435
2763.99190,29.58698
2768.99007,30.61433
2773.98825,31.56276
2778.98643,32.44446
2783.98460,33.26886
2788.98278,34.04338
2793.98096,34.77400
2798.97913,35.46561
2803.97731,36.12230
2808.97549,36.74746
2813.97367,37.34402
2818.97184,37.91448
2823.97002,38.46098
2828.96820,38.98543
2833.96637,39.48948
2838.96455,39.92549
2843.96273,40.25059
2848.96090,39.50000
2853.95908,38.90000
2858.95726,39.31873
2863.95544,39.71001
2868.95361,40.14176
2873.95179,40.56527
2878.94997,40.98084
2883.94814,41.38112
2888.94632,41.74992
2893.94450,42.06990
2898.94267,41.70000
2903.94085,42.04179
2908.93903,41.50000
2913.93721,41.68971
2918.93538,41.10000
2923.93356,40.77525
2928.93174,40.16091
2933.92991,39.48154
2938.92809,38.77852
2943.92627,38.10000
2948.92445,37.90000
2953.92262,38.31968
2958.92080,38.77205
2963.91898,39.28431
2968.91715,39.72431
2973.91533,40.15578
2978.91351,40.57903
2983.91168,40.99434
2988.90986,41.40198
2993.90804,41.80221
2998.90622,42.19528
3003.90439,42.58140
3008.90257,42.96081
3013.90075,43.33102
3018.89892,43.69036
3023.89710,44.03939
3028.89528,44.37860
3033.89345,44.70846
3038.89163,45.02940
3043.88981,45.34182
3048.88799,45.64608
3053.88616,45.94254
3058.88434,46.23152
3063.88252,46.51333
3068.88069,46.78825
3073.87887,47.05654
3078.87705,47.31847
3083.87522,47.57426
3088.87340,47.82414
3093.87158,48.06833
3098.86976,48.30702
3103.86793,48.54040
3108.86611,48.76865
3113.86429,48.50166
3118.86246,46.38878
3123.86064,44.28683
3128.85882,42.25726
3133.85700,40.35568
3138.85517,38.56017
3143.85335,36.83522
3148.85153,35.16937
3153.84970,33.56926
3158.84788,32.04175
3163.84606,30.61110
3168.84423,29.28309
3173.84241,28.05530
3178.84059,26.92527
3183.83877,25.88597
3188.83694,24.90000
3193.83512,24.30000
3198.83330,23.90000
3203.83147,24.83022
3208.82965,25.56661
3213.82783,26.46566
3218.82600,27.53976
3223.82418,28.65288
3228.82236,29.75880
3233.82054,30.77244
3238.81871,31.70935
3243.81689,32.58122
3248.81507,33.39711
3253.81324,34.16416
3258.81142,34.88818
3263.80960,35.57390
3268.80777,36.22528
3273.80595,36.84564
3278.80413,37.43783
3283.80231,38.00428
3288.80048,38.54710
3293.79866,39.06815
3298.79684,39.56905
3303.79501,40.00351
3308.79319,40.42964
3313.79137,40.84774
3318.78955,41.25807
3323.78772,41.66091
3328.78590,42.05649
3333.78408,42.44506
3338.78225,42.82683
3343.78043,43.20102
3348.77861,43.56416
3353.77678,43.91679
3358.77496,44.25942
3363.77314,44.59255
3368.77132,44.91660
3373.76949,45.23200
3378.76767,45.53911
3383.76585,45.83830
3388.76402,46.12990
3393.76220,46.41421
3398.76038,46.69154
3403.75855,46.96215
3408.75673,47.22631
3413.75491,47.48425
3418.75309,47.73620
3423.75126,47.98239
3428.74944,48.22300
3433.74762,48.45824
3438.74579,48.68829
3443.74397,48.91333
3448.74215,49.13351
3453.74032,49.34899
3458.73850,49.55993
3463.73668,49.76647
3468.73486,49.96873
3473.73303,50.16686
3478.73121,50.36097
3483.72939,50.55118
3488.72756,50.73761
3493.72574,50.92036
3498.72392,51.09954
3503.72210,51.27524
3508.72027,51.44757
3513.71845,51.61661
3518.71663,51.78244
3523.71480,51.94517
3528.71298,52.10486
3533.71116,52.26159
3538.70933,52.41544
3543.70751,52.56649
3548.70569,52.71480
3553.70387,52.86043
3558.70204,53.00346
3563.70022,53.14395
3568.69840,53.28196
3573.69657,53.41754
3578.69475,53.55075
3583.69293,53.68166
3588.69110,53.81030
3593.68928,53.93674
3598.68746,54.06101
3603.68564,54.18318
3608.68381,54.30329
3613.68199,54.42137
3618.68017,54.53748
3623.67834,54.65166
3628.67652,54.76395
3633.67470,54.87438
3638.67287,54.98301
3643.67105,55.08986
3648.66923,55.19497
3653.66741,55.29838
3658.66558,55.40012
3663.66376,55.50023
3668.66194,55.59874
3673.66011,55.69568
3678.65829,55.79109
3683.65647,55.88498
3688.65464,55.97740
3693.65282,56.06837
3698.65100,56.15791
3703.64918,56.24606
3708.64735,56.33285
3713.64553,56.41829
3718.64371,56.50241
3723.64188,56.58525
3728.64006,56.66681
3733.63824,56.74713
3738.63642,56.82623
3743.63459,56.90413
3748.63277,56.98085
3753.63095,57.05642
3758.62912,57.13085
3763.62730,57.20416
3768.62548,57.27638
3773.62365,57.34752
3778.62183,57.41760
3783.62001,57.48665
3788.61819,57.55468
3793.61636,57.62170
3798.61454,57.68774
3803.61272,57.75280
3808.61089,57.81692
3813.60907,57.88010
3818.60725,57.94236
3823.60542,58.00371
3828.60360,58.06418
3833.60178,58.12377
3838.59996,58.18250
3843.59813,58.24039
3848.59631,58.29745
3853.59449,58.35368
3858.59266,58.40911
3863.59084,58.46376
3868.58902,58.51762
3873.58719,58.57071
3878.58537,58.62306
3883.58355,58.67466
3888.58173,58.72553
3893.57990,58.77569
3898.57808,58.82513
3903.57626,58.87389
3908.57443,58.92195
3913.57261,58.96935
3918.57079,59.01608
3923.56897,59.06216
3928.56714,59.10760
3933.56532,59.15241
3938.56350,59.19659
3943.56167,59.24016
3948.55985,59.28313
3953.55803,59.32550
3958.55620,59.36729
3963.55438,59.40850
3968.55256,59.44915
3973.55074,59.48923
3978.54891,59.52877
3983.54709,59.56776
3988.54527,59.60622
3993.54344,59.64416
3998.54162,59.68158
4003.53980,59.71848
4008.53797,59.75489
4013.53615,59.79080
4018.53433,59.82622
4023.53251,59.86117
4028.53068,59.89564
4033.52886,59.92964
4038.52704,59.96318
4043.52521,59.99627
4048.52339,60.02892
4053.52157,60.06112
4058.51974,60.09290
4063.51792,60.12424
4068.51610,60.15517
4073.51428,60.18568
4078.51245,60.21578
4083.51063,60.24548
4088.50881,60.27478
4093.50698,60.30370
4098.50516,60.33222
4103.50334,60.36037
4108.50152,60.38814
4113.49969,60.41554
4118.49787,60.44258
4123.49605,60.46926
4128.49422,60.49559
4133.49240,60.52157
4138.49058,60.54720
4143.48875,60.57250
4148.48693,60.59746
4153.48511,60.62209
4158.48329,60.64640
4163.48146,60.67038
4168.47964,60.69406
4173.47782,60.71742
4178.47599,60.74047
4183.47417,60.76322
4188.47235,60.78567
4193.47052,60.80783
4198.46870,60.82969
4203.46688,60.85127
4208.46506,60.87257
4213.46323,60.89359
4218.46141,60.91434
4223.45959,60.93481
4228.45776,60.95502
