# distance_m,vel_mps
4022.30827,59.31142
4027.30493,59.35339
4032.30158,59.39478
4037.29824,59.43561
4042.29489,59.47587
4047.29155,59.51557
4052.28821,59.55474
4057.28486,59.59336
4062.28152,59.63146
4067.27818,59.66904
4072.27483,59.70611
4077.27149,59.74267
4082.26814,59.77874
4087.26480,59.81431
4092.26146,59.84941
4097.25811,59.88402
4102.25477,59.91817
4107.25143,59.95186
4112.24808,59.98510
4117.24474,60.01788
4122.24139,60.05023
4127.23805,60.08214
4132.23471,60.11362
4137.23136,60.14468
4142.22802,60.17532
4147.22468,60.20555
4152.22133,60.23538
4157.21799,60.26481
4162.21464,60.29384
4167.21130,60.32249
4172.20796,60.35076
4177.20461,60.37865
4182.20127,60.40617
4187.19793,60.43333
4192.19458,60.46012
4197.19124,60.48656
4202.18789,60.51265
4207.18455,60.53839
4212.18121,60.56380
4217.17786,60.58887
4222.17452,60.61360
4227.17118,60.63802
4232.16783,60.66211
4237.16449,60.68588
4242.16114,60.70934
4247.15780,60.73249
4252.15446,60.75534
4257.15111,60.77789
4262.14777,60.80014
4267.14443,60.82210
4272.14108,60.84377
4277.13774,60.86516
4282.13439,60.88627
4287.13105,60.90711
4292.12771,60.92767
4297.12436,60.94797
4302.12102,60.96800
4307.11767,60.98776
4312.11433,61.00728
4317.11099,61.02653
4322.10764,61.04554
4327.10430,61.06430
4332.10096,61.08282
4337.09761,61.10110
4342.09427,61.11914
4347.09092,61.13694
4352.08758,61.15452
4357.08424,61.17187
4362.08089,61.18899
4367.07755,61.20589
4372.07421,61.22258
4377.07086,61.23905
4382.06752,61.25530
4387.06417,61.27135
4392.06083,61.28719
4397.05749,61.30282
4402.05414,61.31826
4407.05080,61.33349
4412.04746,61.34853
4417.04411,61.36338
4422.04077,61.37803
4427.03742,61.39250
4432.03408,61.40678
4437.03074,61.42088
4442.02739,61.43480
4447.02405,61.44854
4452.02071,61.46210
4457.01736,61.47549
4462.01402,61.48871
4467.01067,61.50176
4472.00733,61.51464
4477.00399,61.52735
4482.00064,61.53991
4486.99730,61.55230
4491.99396,61.56454
4496.99061,61.57662
4501.98727,61.58854
4506.98392,61.60032
4511.98058,61.61194
4516.97724,61.62342
4521.97389,61.63475
4526.97055,61.64593
4531.96721,61.65697
4536.96386,61.66788
4541.96052,61.67864
